Year,Month,Sri_Lanka_Dollar Rate(LKR),Estate,Price,Month_Encoded,Estate_Encoded,Time_Index
-1.7255270525327775,July,-1.1188030576639245,Kendalanda,75.0,-0.15422424375538193,-1.224744871391589,-1.7351006258187047
-1.7255270525327775,August,-1.1197193544001465,Kendalanda,75.0,-1.3046537377144478,-1.224744871391589,-1.835098072618864
-1.7255270525327775,September,-1.1180176604614485,Kendalanda,70.0,1.571419997183217,-1.224744871391589,-1.585104455618466
-1.7255270525327775,October,-1.1123889805103697,Kendalanda,68.77,1.2838126236934504,-1.224744871391589,-1.6101038173185058
-1.7255270525327775,November,-1.108331094964243,Kendalanda,67.5,0.996205250203684,-1.224744871391589,-1.6351031790185455
-1.7255270525327775,December,-1.105320405688085,Kendalanda,66.27,-1.0170463642246814,-1.224744871391589,-1.8100987109188242
-1.4248670358035762,January,-1.096681036460848,Kendalanda,65.0,-0.4418316172451484,-1.224744871391589,-1.460107647118267
-1.4248670358035762,February,-1.0858163751599286,Kendalanda,62.0,-0.7294389907349149,-1.224744871391589,-1.4851070088183067
-1.4248670358035762,March,-1.081758489613802,Kendalanda,73.0,0.420990503224151,-1.224744871391589,-1.3851095620181475
-1.4248670358035762,April,-1.0791404989388818,Kendalanda,73.0,-1.5922611112042144,-1.224744871391589,-1.5601050939184262
-1.4248670358035762,May,-1.0757371110614855,Kendalanda,61.0,0.7085978767139175,-1.224744871391589,-1.3601102003181078
-1.4248670358035762,June,-1.071679225515359,Kendalanda,62.1,0.13338312973438454,-1.224744871391589,-1.4101089237181874
-1.4248670358035762,July,-1.0699775315766609,Kendalanda,80.0,-0.15422424375538193,-1.224744871391589,-1.435108285418227
-1.4248670358035762,August,-1.0665741436992642,Kendalanda,59.0,-1.3046537377144478,-1.224744871391589,-1.5351057322183863
-1.4248670358035762,September,-0.9940558020039717,Kendalanda,55.0,1.571419997183217,-1.224744871391589,-1.2851121152179883
-1.4248670358035762,October,-0.9744208719420694,Kendalanda,59.0,1.2838126236934504,-1.224744871391589,-1.3101114769180282
-1.4248670358035762,November,-0.9632944115736581,Kendalanda,64.0,0.996205250203684,-1.224744871391589,-1.335110838618068
-1.4248670358035762,December,-0.9443139791804858,Kendalanda,62.0,-1.0170463642246814,-1.224744871391589,-1.5101063705183466
-1.124207019074375,January,-0.9390779978306454,Kendalanda,62.76,-0.4418316172451484,-1.224744871391589,-1.1601153067177892
-1.124207019074375,February,-0.935805509486995,Kendalanda,63.52,-0.7294389907349149,-1.224744871391589,-1.185114668417829
-1.124207019074375,March,-0.929915030468424,Kendalanda,64.24,0.420990503224151,-1.224744871391589,-1.0851172216176699
-1.124207019074375,April,-0.9240245514498535,Kendalanda,65.0,-1.5922611112042144,-1.224744871391589,-1.2601127535179484
-1.124207019074375,May,-0.9194430677687431,Kendalanda,66.48,0.7085978767139175,-1.224744871391589,-1.06011785991763
-1.124207019074375,June,-0.921406560774933,Kendalanda,68.0,0.13338312973438454,-1.224744871391589,-1.1101165833177096
-1.124207019074375,July,-0.9181340724312826,Kendalanda,71.0,-0.15422424375538193,-1.224744871391589,-1.1351159450177495
-1.124207019074375,August,-0.9155160817563625,Kendalanda,75.0,-1.3046537377144478,-1.224744871391589,-1.2351133918179087
-1.124207019074375,September,-0.9102801004065217,Kendalanda,79.0,1.571419997183217,-1.224744871391589,-0.9851197748175107
-1.124207019074375,October,-0.8978446447006504,Kendalanda,83.92,1.2838126236934504,-1.224744871391589,-1.0101191365175504
-1.124207019074375,November,-0.8827911983198585,Kendalanda,89.0,0.996205250203684,-1.224744871391589,-1.0351184982175903
-1.124207019074375,December,-0.8690467472765268,Kendalanda,88.0,-1.0170463642246814,-1.224744871391589,-1.2101140301178688
-0.8235470023451738,January,-0.8579202869081155,Kendalanda,88.0,-0.4418316172451484,-1.224744871391589,-0.8601229663173117
-0.8235470023451738,February,-0.8461393288709741,Kendalanda,89.0,-0.7294389907349149,-1.224744871391589,-0.8851223280173515
-0.8235470023451738,March,-0.8350128685025628,Kendalanda,93.0,0.420990503224151,-1.224744871391589,-0.7851248812171923
-0.8235470023451738,April,-0.8278133941465322,Kendalanda,99.0,-1.5922611112042144,-1.224744871391589,-0.9601204131174709
-0.8235470023451738,May,-0.8238864081341516,Kendalanda,99.0,0.7085978767139175,-1.224744871391589,-0.7601255195171525
-0.8235470023451738,June,-0.8186504267843109,Kendalanda,96.0,0.13338312973438454,-1.224744871391589,-0.8101242429172321
-0.8235470023451738,July,-0.8127599477657403,Kendalanda,88.0,-0.15422424375538193,-1.224744871391589,-0.8351236046172719
-0.8235470023451738,August,-0.8173414314468508,Kendalanda,95.0,-1.3046537377144478,-1.224744871391589,-0.9351210514174311
-0.8235470023451738,September,-0.8153779384406605,Kendalanda,98.0,1.571419997183217,-1.224744871391589,-0.685127434417033
-0.8235470023451738,October,-0.80948745942209,Kendalanda,99.0,1.2838126236934504,-1.224744871391589,-0.7101267961170729
-0.8235470023451738,November,-0.8114509524282802,Kendalanda,94.0,0.996205250203684,-1.224744871391589,-0.7351261578171127
-0.8235470023451738,December,-0.8193049244530412,Kendalanda,92.0,-1.0170463642246814,-1.224744871391589,-0.9101216897173913
